期別,號碼,,,
001A,39,,,
021B,33,,,
022A,144,,,
022B,125,,,
023A,85,,,
023B,100,,,
024A,102,,,
024B,109,,,
025A,109,,,
025B,168,,,
026A,112,,,
026B,168,,,
027A,107,,,
027B,105,,,
028A,70,,,
028B,101,,,
029A,82,,,
029B,54,,,
030A,93,,,
030B,55,,,
031A,133,,,
031B,60,,,
032A,111,,,
032B,148,,,
033A,85,,,
033B,114,,,
034A,113,,,
034B,103,,,
035A,136,,,
035B,117,,,
036A,163,,,
036B,119,,,
037A,161,,,
037B,94,,,
038A,107,,,
038B,61,,,
039A,63,,,
039B,80,,,
040A,84,,,
040B,68,,,
041A,49,,,
041B,74,,,
042A,125,,,
042B,150,,,
043A,113,,,
043B,108,,,
044A,111,,,
044B,111,,,
045A,127,,,
045B,143,,,
046A,137,,,
046B,143,,,
047A,137,,,
047B,143,,,
048A,137,,,
048B,114,,,
049A,73,,,
049B,67,,,
050A,76,,,
050B,68,,,
051A,62,,,
051B,78,,,
052A,182,,,
052B,98,,,
053A,176,,,
053B,103,,,
054A,107,,,
054B,103,,,
055A,128,,,
055B,138,,,
056A,131,,,
056B,124,,,
057A,153,,,
057B,127,,,
058A,152,,,
058B,125,,,
059A,113,,,
059B,106,,,
060A,62,,,
060B,63,,,
061A,78,,,
061B,65,,,
062A,65,,,
062B,106,,,
063A,58,,,
063B,95,,,
064A,96,,,
064B,69,,,
065A,130,,,
065B,148,,,
066A,128,,,
066B,124,,,
067A,142,,,
067B,139,,,
068A,141,,,
068B,139,,,
069A,139,,,
069B,115,,,
070A,80,,,
070B,56,,,
071A,70,,,
071B,50,,,
072A,50,,,
072B,51,,,
073A,45,,,
073B,113,,,
074A,90,,,
074B,94,,,
075A,66,,,
075B,70,,,
076A,97,,,
076B,84,,,
077A,118,,,
077B,140,,,
078A,139,,,
078B,143,,,
079A,134,,,
079B,100,,,
080A,58,,,
080B,63,,,
081A,61,,,
081B,78,,,
082A,44,,,
082B,36,,,
083A,76,,,
083B,73,,,
084A,51,,,
084B,87,,,
085A,118,,,
085B,69,,,
086A,83,,,
086B,96,,,
087A,137,,,
087B,132,,,
088A,140,,,
088B,139,,,
089A,142,,,
089B,131,,,
090A,77,,,
090B,47,,,
091A,63,,,
091B,54,,,
092A,37,,,
092B,69,,,
093A,36,,,
093B,73,,,
094A,41,,,
094B,90,,,
095A,94,,,
095B,108,,,
096A,98,,,
096B,79,,,
097A,105,,,
097B,86,,,
098A,136,,,
098B,144,,,
099A,134,,,
099B,146,,,
100A,131,,,
100B,58,,,
101A,81,,,
101B,57,,,
102A,54,,,
102B,57,,,
103A,40,,,
103B,45,,,
104A,85,,,
104B,86,,,
105A,14,,,
105B,90,,,
106A,56,,,
106B,78,,,
107A,91,,,
107B,110,,,
108A,115,,,
108B,90,,,
109A,143,,,
109B,136,,,
110A,144,,,
110B,73,,,
111A,77,,,
111B,37,,,
112A,78,,,
112B,63,,,
113A,59,,,
113B,46,,,
114A,53,,,
114B,105,,,
115A,47,,,
115B,53,,,
116A,94,,,
116B,47,,,
117A,86,,,
117B,112,,,
118A,102,,,
118B,96,,,
119A,109,,,
119B,147,,,
120A,135,,,
120B,145,,,
121A,86,,,
121B,65,,,
122A,63,,,
122B,71,,,
123A,101,,,
123B,48,,,
124A,46,,,
124B,42,,,
125A,87,,,
125B,66,,,
126A,125,,,
126B,99,,,
127A,148,,,
127B,132,,,
128A,84,,,
128B,55,,,
129A,60,,,
129B,91,,,
130A,148,,,
130B,133,,,
131A,87,,,
131B,38,,,
132A,44,,,
132B,30,,,
133A,27,,,
133B,37,,,
134A,35,,,
134B,30,,,
135A,37,,,
135B,68,,,
136A,28,,,
136B,40,,,
137A,72,,,
137B,42,,,
138A,50,,,
138B,69,,,
139A,46,,,
139B,56,,,
140A,64,,,
140B,154,,,
141A,112,,,
141B,40,,,
142A,35,,,
142B,35,,,
143A,45,,,
143B,37,,,
144A,47,,,
144B,26,,,
145A,22,,,
145B,30,,,
146A,57,,,
146B,23,,,
147A,71,,,
147B,62,,,
148A,44,,,
148B,48,,,
149A,64,,,
149B,80,,,
150A,110,,,
150B,139,,,
151A,140,,,
151B,137,,,
152A,84,,,
152B,40,,,
153A,34,,,
153B,30,,,
154A,27,,,
154B,40,,,
155A,40,,,
155B,28,,,
156A,46,,,
156B,30,,,
157A,72,,,
157B,62,,,
158A,69,,,
158B,38,,,
159A,56,,,
159B,89,,,
160A,83,,,
160B,103,,,
161A,144,,,
161B,137,,,
162A,143,,,
162B,136,,,
163A,97,,,
163B,50,,,
164A,37,,,
164B,26,,,
165A,47,,,
165B,29,,,
166A,36,,,
166B,53,,,
167A,87,,,
167B,27,,,
168A,67,,,
168B,65,,,
169A,56,,,
169B,45,,,
170A,75,,,
170B,161,,,
171A,119,,,
171B,115,,,
172A,52,,,
172B,53,,,
173A,51,,,
173B,44,,,
174A,33,,,
174B,37,,,
175A,30,,,
175B,42,,,
176A,29,,,
176B,42,,,
177A,75,,,
177B,29,,,
178A,50,,,
178B,36,,,
179A,41,,,
179B,81,,,
180A,163,,,
180B,117,,,
181A,160,,,
181B,120,,,
182A,57,,,
182B,54,,,
183A,59,,,
183B,31,,,
184A,27,,,
184B,37,,,
185A,33,,,
185B,57,,,
186A,22,,,
186B,51,,,
187A,48,,,
187B,54,,,
188A,45,,,
188B,58,,,
189A,49,,,
189B,60,,,
190A,93,,,
190B,117,,,
191A,141,,,
191B,90,,,
192A,28,,,
192B,21,,,
193A,26,,,
193B,30,,,
194A,35,,,
194B,41,,,
195A,33,,,
195B,28,,,
196A,50,,,
196B,40,,,
197A,12,,,
197B,59,,,
198A,47,,,
198B,41,,,
199A,47,,,
199B,44,,,
200A,59,,,
200B,67,,,
201A,116,,,
201B,120,,,
202A,96,,,
202B,53,,,
203A,50,,,
203B,22,,,
204A,28,,,
204B,26,,,
205A,30,,,
